"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANALIPETC","EQ","04-Nov-2020","         30.20","         29.90","         31.70","         29.90","         31.45","         31.40","         31.09","     786883","            24462540.65","       2625","     493197","         62.68"
"MANALIPETC","EQ","05-Nov-2020","         31.40","         31.90","         32.60","         31.25","         32.30","         32.35","         32.15","     640265","            20584926.05","       2796","     355733","         55.56"
"MANALIPETC","EQ","06-Nov-2020","         32.35","         32.50","         33.30","         32.25","         32.65","         32.65","         32.76","     575870","            18863744.00","       1899","     288371","         50.08"
"MANALIPETC","EQ","09-Nov-2020","         32.65","         32.90","         33.50","         32.55","         33.05","         33.10","         33.09","     841875","            27860245.85","       2865","     506854","         60.21"
"MANALIPETC","EQ","10-Nov-2020","         33.10","         33.25","         33.25","         32.55","         32.75","         32.85","         32.90","     500819","            16476143.65","       1410","     319772","         63.85"
"MANALIPETC","EQ","11-Nov-2020","         32.85","         32.85","         34.00","         32.70","         33.85","         33.65","         33.34","    1202742","            40099549.95","       3503","     751067","         62.45"
"MANALIPETC","EQ","12-Nov-2020","         33.65","         33.75","         33.75","         30.50","         31.30","         31.05","         31.85","    2410003","            76756723.35","       6727","    1464253","         60.76"
"MANALIPETC","EQ","13-Nov-2020","         31.05","         31.50","         31.55","         30.75","         31.40","         31.30","         31.18","     614095","            19147166.95","       1992","     300873","         48.99"
"MANALIPETC","EQ","14-Nov-2020","         31.30","         31.75","         31.95","         31.50","         31.90","         31.80","         31.76","     218609","             6942378.60","        779","     144804","         66.24"
"MANALIPETC","EQ","17-Nov-2020","         31.80","         32.20","         32.35","         31.70","         32.05","         32.05","         32.03","     403234","            12913656.70","       1143","     270274","         67.03"
"MANALIPETC","EQ","18-Nov-2020","         32.05","         32.20","         32.90","         31.50","         32.45","         32.50","         32.33","    1068775","            34551237.50","       2531","     566648","         53.02"
"MANALIPETC","EQ","19-Nov-2020","         32.50","         32.20","         33.90","         32.20","         32.65","         32.60","         32.99","    1035459","            34159572.45","       2908","     555605","         53.66"
"MANALIPETC","EQ","20-Nov-2020","         32.60","         32.85","         35.35","         32.80","         35.10","         34.75","         34.56","    2400424","            82963169.15","       6735","    1522136","         63.41"
"MANALIPETC","EQ","23-Nov-2020","         34.75","         35.15","         35.85","         34.45","         34.75","         34.65","         35.08","     912135","            31999237.65","       3008","     519903","         57.00"
"MANALIPETC","EQ","24-Nov-2020","         34.65","         34.85","         35.40","         34.00","         34.25","         34.15","         34.52","     565886","            19535164.00","       1656","     349625","         61.78"
"MANALIPETC","EQ","25-Nov-2020","         34.15","         34.15","         34.45","         32.75","         33.15","         33.25","         33.38","     651632","            21753303.40","       2315","     398947","         61.22"
"MANALIPETC","EQ","26-Nov-2020","         33.25","         33.15","         34.50","         33.15","         34.50","         34.25","         33.94","     521970","            17716478.65","       1509","     292171","         55.97"
"MANALIPETC","EQ","27-Nov-2020","         34.25","         34.45","         35.35","         34.25","         35.10","         35.00","         34.77","     672717","            23390328.95","       1979","     508013","         75.52"
"MANALIPETC","EQ","01-Dec-2020","         35.00","         35.25","         36.95","         35.05","         36.45","         36.65","         36.44","    2231318","            81318437.05","       6058","    1495838","         67.04"
"MANALIPETC","EQ","02-Dec-2020","         36.65","         36.65","         37.90","         35.50","         35.80","         35.85","         36.64","    2527043","            92583436.95","       7283","    1095086","         43.33"
"MANALIPETC","EQ","03-Dec-2020","         35.85","         36.10","         36.65","         35.50","         36.30","         36.25","         35.98","     943710","            33956707.95","       2733","     529298","         56.09"
"MANALIPETC","EQ","04-Dec-2020","         36.25","         36.45","         36.80","         33.35","         34.20","         34.20","         34.70","    1679892","            58292261.40","       5431","     885628","         52.72"
"MANALIPETC","EQ","07-Dec-2020","         34.20","         34.75","         35.25","         32.50","         34.80","         33.95","         34.34","    1302996","            44744190.80","       3376","     611209","         46.91"
"MANALIPETC","EQ","08-Dec-2020","         33.95","         34.30","         34.75","         33.50","         34.25","         34.25","         34.24","     858900","            29404980.80","       2514","     497253","         57.89"
"MANALIPETC","EQ","09-Dec-2020","         34.25","         34.50","         34.65","         33.80","         34.50","         34.30","         34.20","     546860","            18703216.45","       1684","     329970","         60.34"
"MANALIPETC","EQ","10-Dec-2020","         34.30","         34.20","         34.45","         33.20","         33.60","         33.40","         33.64","     437287","            14710279.15","       1463","     332047","         75.93"
"MANALIPETC","EQ","11-Dec-2020","         33.40","         33.60","         34.90","         33.60","         34.25","         34.25","         34.30","     928646","            31853775.35","       2672","     463564","         49.92"
"MANALIPETC","EQ","14-Dec-2020","         34.25","         34.55","         35.35","         33.85","         34.65","         34.65","         34.47","     535954","            18472698.25","       1995","     256015","         47.77"
"MANALIPETC","EQ","15-Dec-2020","         34.65","         34.60","         34.60","         33.50","         34.10","         34.05","         34.00","     356481","            12120670.50","       1275","     234503","         65.78"
"MANALIPETC","EQ","16-Dec-2020","         34.05","         34.45","         35.60","         34.20","         35.00","         35.00","         34.93","    1364328","            47657735.80","       3486","     822427","         60.28"
"MANALIPETC","EQ","17-Dec-2020","         35.00","         36.00","         36.45","         35.20","         35.25","         35.35","         35.87","    1554731","            55760921.05","       4983","     783892","         50.42"
"MANALIPETC","EQ","18-Dec-2020","         35.35","         35.35","         35.50","         34.10","         34.25","         34.35","         34.57","     429159","            14836235.40","       1661","     240406","         56.02"
"MANALIPETC","EQ","21-Dec-2020","         34.35","         34.35","         34.75","         29.65","         31.40","         31.30","         32.70","     843013","            27564829.50","       3268","     502207","         59.57"
"MANALIPETC","EQ","22-Dec-2020","         31.30","         30.60","         32.65","         29.55","         31.45","         31.40","         30.95","     760503","            23536339.50","       2949","     411597","         54.12"
"MANALIPETC","EQ","23-Dec-2020","         31.40","         31.35","         33.00","         31.30","         32.85","         32.85","         32.60","     393084","            12813182.50","       1701","     197977","         50.37"
"MANALIPETC","EQ","24-Dec-2020","         32.85","         33.15","         36.20","         32.65","         35.45","         35.40","         35.24","    3118415","           109900193.25","       9712","    1283187","         41.15"
